id,userId,equipmentId,serviceType,observations,status,diagnostic,repair,parts
SBDI/0001/2025,44782,EQP-2FA05,correctivo,Equipo trabaja muy lento,en_proceso,Reemplazo de disco mecánico a disco solido,,
SBDI/0002/2025,43179,EQP-14B53,correctivo,Mi equipo trabaja lento,cerrado,Reemplazo de Disco Duro ,Cambio de Disco Duro para un mejor desempeño del Equipo,Disco Solido 
SBDI/0003/2025,45253,EQP-14B53,correctivo,Mi equipo trabaja lento,cerrado,Reemplazo de Disco Duro ,Cambio de Disco Duro para un mejor desempeño del Equipo,Disco Solido 
SBDI/0004/2025,47700,EQP-CB18D,correctivo,Mi equipo tarda mucho en prender y esta muy lento ,cerrado,Requiere reemplazo de disco duro para un mejor rendimiento,Cambio de disco duro mecánico a solido,Disco duro solido
SBDI/0005/2025,42950,EQP-79BC7,correctivo,Computadora muy lenta,cerrado,Requiere reemplazo de disco duro ,Cambio de disco duro mecánico a solido,Disco duro solido
SBDI/0006/2025,80705,EQP-53D76,correctivo,Mi computadora esta muy lenta,cerrado,Requiere reemplazo de disco duro,Cambio de disco duro mecánico a solido ,Disco duro solido
SBDI/0007/2025,80895,EQP-BD2B4,correctivo,No prende mi computadora,pendiente,,,
SBDI/0008/2025,83199,EQP-CB18D,preventivo,Mantenimiento preventivo ,pendiente,,,
SBDI/0009/2025,41965,EQP-BD2B4,preventivo,Mi computadora no se puede conectar,pendiente,,,
SBDI/0010/2025,42946,EQP-EF637,preventivo,Prueba de captura,en_proceso,,,
SBDI/0011/2025,43257,EQP-BD2B4,preventivo,Prueba,pendiente,,,
SBDI/0012/2025,47701,EQP-BD2B4,Preventivo,prueba,en_proceso,,,
