tipo,marca,modelo,procesador,ram,almacenamiento,serial,user_id,estatus Equipo,Departamento,Observaciones,Requerimiento
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515616,,Activo,DIRECCIÓN GENERAL DE DESARROLLO REGIONAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-11400, 8 GB de Ram , Disco Solido de  240 GB.,1561515617,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515618,,Activo,SUBDIRECCIÓN DE EVALUACIÓN SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515619,,Activo,UNIDAD IGUALDAD DE GENERO,,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515620,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515621,,Activo,DIRECCIÓN GENERAL DE INFRAESTRUCTURA SOCIAL,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515623,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515624,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro Mecanico 320 gb ,1561515625,,Activo,DESPACHO,Falla Monitor,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515626,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515627,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515628,,Activo,SUBSECRETARÍA DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador RYZEN 5 5600, 8 GB de Ram , Disco Solido de  240 GB.,1561515629,,Activo,ORGANO INTERNO DE CONTROL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  480 GB.,1561515630,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515631,,Activo,SUBSECRETARIA DE INCLUSION SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515632,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
