serial_number,name,type,brand,model,serial_number,inventory_number,processor,ram,hard_drive,operating_system,description,status,location,notes,requirement,assigned_user_id,created_at,updated_at,,
EQP-A4BB8,PC Recepción,desktop,Dell,Optiplex 3080,ABC123456,SBS-0001,Intel i5,8GB,256GB SSD,Windows 10,Equipo de recepción,assigned,Oficina principal,Sin observaciones,Ninguno,,15/11/2025,15/11/2025,,
EQP-A4BB3,Impresora HP,printer,HP,LaserJet 1020,PRN987654,SBS-0002,,,,,Impresora de oficina,available,Oficina de impresión,Requiere tóner,Tóner HP 12A,,15/11/2025,15/11/2025,,
EQP-A4BB4,Laptop Dirección,laptop,Lenovo,ThinkPad L14,LT123789,SBS-0003,Intel i7,16GB,512GB SSD,Windows 11,Equipo portátil para dirección,maintenance,Dirección,Pantalla dañada,Reparar pantalla,,15/11/2025,15/11/2025,,
EQP-A4BBA,EQP-A4BBA,SBS-0020,desktop,47701,Dell,Inspire, Procesador E5500, 4 GB de Ram , Disco Solido de  240 GB.,1561515636,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-83B2F',inventory_number:'SBS-0022',type:'desktop',assigned_user_id:'47753',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  1TB GB Mecanico.',serial_number:'1561515638',status:'Activo',location:'DIRECCI�N GENERAL DE DESARROLLO REGIONAL',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-C59EA,EQP-C59EA,SBS-0021,desktop,81788,Dell,Inspire, Procesador J1900 , 8 Gb de Ram , Disco Solido de 240GB,1561515637,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-07764',inventory_number:'SBS-0023',type:'desktop',assigned_user_id:'30289',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515639',status:'Activo',location:'DIRECCI�N GENERAL DE DESARROLLO REGIONAL',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-83B2F,EQP-83B2F,SBS-0022,desktop,47753,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Duro de  1TB GB Mecanico.,1561515638,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-416A1',inventory_number:'SBS-0024',type:'desktop',assigned_user_id:'47811',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515640',status:'Activo',location:'DIRECCI�N GENERAL DE DESARROLLO REGIONAL',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-07764,EQP-07764,SBS-0023,desktop,30289,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515639,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-5199D',inventory_number:'SBS-0025',type:'desktop',assigned_user_id:'42637',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515641',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-416A1,EQP-416A1,SBS-0024,desktop,47811,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515640,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-87E0E',inventory_number:'SBS-0026',type:'desktop',assigned_user_id:'32982',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515642',status:'Activo',location:'OFICIALIA DE PARTES',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5199D,EQP-5199D,SBS-0025,desktop,42637,Dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  240 GB.,1561515641,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-01373',inventory_number:'SBS-0027',type:'desktop',assigned_user_id:'20822',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 2 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515643',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-87E0E,EQP-87E0E,SBS-0026,desktop,32982,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515642,,Activo,OFICIALIA DE PARTES,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-56B64',inventory_number:'SBS-0028',type:'desktop',assigned_user_id:'81632',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515644',status:'Activo',location:'DIRECCI�N GENERAL DE DESARROLLO REGIONAL',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-01373,EQP-01373,SBS-0027,desktop,20822,Dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515643,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-60CCD',inventory_number:'SBS-0029',type:'desktop',assigned_user_id:'82348',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515645',status:'Activo',location:'SUBSECRETARIA DE INCLUSION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-56B64,EQP-56B64,SBS-0028,desktop,81632,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515644,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-3A8B7',inventory_number:'SBS-0030',type:'desktop',assigned_user_id:'43126',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515646',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-60CCD,EQP-60CCD,SBS-0029,desktop,82348,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515645,,Activo,SUBSECRETARIA DE INCLUSION SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-F8FA4',inventory_number:'SBS-0031',type:'desktop',assigned_user_id:'48234',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515647',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-3A8B7,EQP-3A8B7,SBS-0030,desktop,43126,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515646,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-911C3',inventory_number:'SBS-0032',type:'desktop',assigned_user_id:'48029',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515648',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'VEHICULOS',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-F8FA4,EQP-F8FA4,SBS-0031,desktop,48234,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515647,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-6A43E',inventory_number:'SBS-0033',type:'desktop',assigned_user_id:'44569',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515649',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-911C3,EQP-911C3,SBS-0032,desktop,48029,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515648,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,VEHICULOS,Ninguno,,,,"{id:'EQP-E99CC',inventory_number:'SBS-0034',type:'desktop',assigned_user_id:'46910',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515650',status:'Activo',location:'ORGANO INTERNO DE CONTROL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-6A43E,EQP-6A43E,SBS-0033,desktop,44569,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515649,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-F0937',inventory_number:'SBS-0035',type:'desktop',assigned_user_id:'42587',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515651',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-E99CC,EQP-E99CC,SBS-0034,desktop,46910,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515650,,Activo,ORGANO INTERNO DE CONTROL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-B83B4',inventory_number:'SBS-0036',type:'desktop',assigned_user_id:'80903',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515652',status:'Activo',location:'DIRECCI�N DE LICITACIONES Y COSTOS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
